ip,city,region,country,loc,timezone,country_name,latitude,longitude,org,hostname,postal,bogon
200.98.200.32,São Paulo,São Paulo,BR,"-23.5475,-46.6361",America/Sao_Paulo,Brazil,-23.5475,-46.6361,AS7162 Universo Online S.A.,200-98-200-32.clouduol.com.br,01000-000,
201.134.106.130,Dallas,Texas,US,"32.7831,-96.8067",America/Chicago,United States,32.7831,-96.8067,AS8151 Uninet S.A. de C.V.,customer-201-134-106-130.uninet-ide.com.mx,75201,
201.141.111.241,Mexico City,Mexico City,MX,"19.4285,-99.1277",America/Mexico_City,Mexico,19.4285,-99.1277,"AS28548 Cablevisión, S.A. de C.V.",customer-201-141-111-241.cablevision.net.mx,03020,
201.141.122.37,Mexico City,Mexico City,MX,"19.4111,-99.1259",America/Mexico_City,Mexico,19.4111,-99.1259,"AS28548 Cablevisión, S.A. de C.V.",customer-201-141-122-37.cablevision.net.mx,15830,
201.141.231.62,Mexico City,Mexico City,MX,"19.4285,-99.1277",America/Mexico_City,Mexico,19.4285,-99.1277,"AS28548 Cablevisión, S.A. de C.V.",customer-201-141-231-62.cablevision.net.mx,03020,
201.156.20.144,San Nicolás de los Garza,Nuevo León,MX,"25.7417,-100.3022",America/Monterrey,Mexico,25.7417,-100.3022,,201-156-20-144.static.axtel.net,65516,
201.161.25.248,Doctor Mora,Guanajuato,MX,"21.1425,-100.3197",America/Mexico_City,Mexico,21.1425,-100.3197,"AS22566 Maxcom Telecomunicaciones, S.A.B. de C.V.",,37963,
201.195.216.186,Redford,Michigan,US,"42.3834,-83.2966",America/Detroit,United States,42.3834,-83.2966,AS11830 Instituto Costarricense de Electricidad y Telecom.,,48239,
201.200.111.98,San José,San José,CR,"9.9333,-84.0833",America/Costa_Rica,Costa Rica,9.9333,-84.0833,AS11830 Instituto Costarricense de Electricidad y Telecom.,,40602,
201.213.2.172,Buenos Aires,Buenos Aires F.D.,AR,"-34.6813,-58.3225",America/Argentina/Buenos_Aires,Argentina,-34.6813,-58.3225,AS7303 Telecom Argentina S.A.,201.213.2.172.fibercorp.com.ar,1874,
201.213.66.107,Buenos Aires,Buenos Aires F.D.,AR,"-34.6131,-58.3772",America/Argentina/Buenos_Aires,Argentina,-34.6131,-58.3772,AS7303 Telecom Argentina S.A.,201.213.66.107.fibercorp.com.ar,1871,
201.219.126.11,Colombia,Huila,CO,"3.3761,-74.8015",America/Bogota,Colombia,3.3761,-74.8015,AS19429 ETB - Colombia,host201-219.126.11.sky.net.co,411080,
201.227.226.145,Panamá,Panamá,PA,"8.9936,-79.5197",America/Panama,Panama,8.9936,-79.5197,AS11556 Cable & Wireless Panama,,,
201.231.120.20,Buenos Aires,Buenos Aires F.D.,AR,"-34.6131,-58.3772",America/Argentina/Buenos_Aires,Argentina,-34.6131,-58.3772,AS7303 Telecom Argentina S.A.,20-120-231-201.fibertel.com.ar,1871,
